Age,Gender,Entry No.,Customer ID,Product Name,hr(pm) ,Day,Rack No.
19,Male,1,15634602,turkey,2,Monday,39
21,Male,2,15647311,tomatoes,1,Tuesday,81
20,Female,3,15619304,spaghetti,8,Wednesday,6
23,Female,4,15701354,mineral water,1,Wednesday,77
31,Female,5,15737888,black tea,2,Friday,40
22,Female,6,15574012,salmon,8,Saturday,76
35,Female,7,15592531,eggs,7,Sunday,6
23,Female,8,15656148,chicken,4,Monday,39
64,Male,9,15792365,milk,4,Tuesday,3
30,Female,10,15592389,burgers,2,Wednesday,72
67,Male,11,15767821,butter,6,Thursday,14
35,Female,12,15737173,turkey,3,Friday,39
58,Female,13,15632264,mineral water,10,Saturday,77
24,Female,14,15691483,low fat yogurt,5,Sunday,78
37,Male,15,15600882,whole wheat pasta,7,Monday,13
22,Male,16,15643966,soup,3,Tuesday,13
35,Female,17,15737452,frozen vegetables,1,Sunday,35
20,Male,18,15788218,french fries,9,Sunday,66
52,Male,19,15661507,eggs,6,Sunday,6
35,Female,20,15568982,cookies,6,Sunday,23
35,Male,21,15577657,turkey,8,Sunday,39
25,Male,22,15597945,spaghetti,8,Monday,6
46,Female,23,15699309,cream,4,Tuesday,5
31,Male,24,15725737,olive oil,3,Wednesday,14
54,Female,25,15625047,olive oil,5,Thursday,14
29,Male,26,15738191,pancakes,3,Friday,32
45,Female,27,15736816,mineral water,2,Saturday,77
35,Male,28,15700772,grated cheese,9,Sunday,16
40,Female,29,15728693,eggs,3,Sunday,6
23,Female,30,15656300,shrimp,1,Sunday,17
60,Male,31,15589475,bread,3,Saturday,14
21,Female,32,15706552,french fries,7,Saturday,66
53,Male,33,15750181,butter,9,Saturday,14
18,Male,34,15659428,french fries,6,Saturday,66
49,Female,35,15732963,nonfat milk,9,Sunday,3
21,Female,36,15794171,burgers,0,Sunday,72
42,Female,37,15788448,herb & pepper,3,Sunday,18
30,Female,38,15729599,fresh tuna,7,Sunday,73
36,Female,39,15717426,tomato sauce,7,Sunday,81
